slot_id,city,area,parking_type,latitude,longitude,timestamp,year,month,day,hour,day_of_week,is_weekend,season,time_category,weather,is_event,demand_score,occupancy_rate,base_price,is_ev_charging,is_handicap,dynamic_price
Trichy-Palakarai-00905,Trichy,Palakarai,commercial,10.78619,78.711196,2025-08-18T01:58:55.713844,2025,8,18,1,0,0,monsoon,night,cloudy,0,25.4822594447508,0.11266068962224367,37.8,0,0,44.74
Trichy-Palakarai-00905,Trichy,Palakarai,commercial,10.78619,78.711196,2024-11-29T10:51:55.713844,2024,11,29,10,4,0,autumn,morning,clear,0,68.39444315196857,0.5346469146535577,37.8,0,0,113.4
Trichy-Palakarai-00905,Trichy,Palakarai,commercial,10.78619,78.711196,2024-11-26T11:15:55.713844,2024,11,26,11,1,0,autumn,morning,rainy,0,81.92629019399466,0.7559931376706746,37.8,0,0,113.4
Trichy-Palakarai-00905,Trichy,Palakarai,commercial,10.78619,78.711196,2025-02-01T20:11:55.713844,2025,2,1,20,5,1,winter,evening,cloudy,0,74.02213481717872,0.7208636940040292,37.8,0,0,113.4
Trichy-Palakarai-00905,Trichy,Palakarai,commercial,10.78619,78.711196,2024-12-06T17:07:55.713844,2024,12,6,17,4,0,winter,evening,cloudy,0,100.0,0.9538231055821106,37.8,0,0,113.4
Trichy-Palakarai-00905,Trichy,Palakarai,commercial,10.78619,78.711196,2025-02-13T16:51:55.713844,2025,2,13,16,3,0,winter,afternoon,cloudy,0,74.65280150579113,0.6837561805692531,37.8,0,0,113.4
Trichy-Palakarai-00905,Trichy,Palakarai,commercial,10.78619,78.711196,2025-02-03T09:41:55.713844,2025,2,3,9,0,0,winter,morning,cloudy,0,100.0,1.0,37.8,0,0,113.4
Trichy-Palakarai-00905,Trichy,Palakarai,commercial,10.78619,78.711196,2024-11-10T10:58:55.713844,2024,11,10,10,6,1,autumn,morning,rainy,0,73.09203374688654,0.7494370201936722,37.8,0,0,113.4
Trichy-Palakarai-00905,Trichy,Palakarai,commercial,10.78619,78.711196,2025-06-30T11:05:55.713844,2025,6,30,11,0,0,monsoon,morning,cloudy,0,67.89391057173441,0.7207042561756435,37.8,0,0,113.4
Trichy-Palakarai-00905,Trichy,Palakarai,commercial,10.78619,78.711196,2025-10-14T21:17:55.713844,2025,10,14,21,1,0,autumn,night,clear,0,80.01580281369193,0.8322470930029644,37.8,0,0,113.4
Trichy-Palakarai-00905,Trichy,Palakarai,commercial,10.78619,78.711196,2025-10-25T18:44:55.713844,2025,10,25,18,5,1,autumn,evening,cloudy,0,100.0,0.883084486759071,37.8,0,0,113.4
Trichy-Palakarai-00905,Trichy,Palakarai,commercial,10.78619,78.711196,2025-03-28T20:07:55.713844,2025,3,28,20,4,0,spring,evening,rainy,0,67.79628028850372,0.6437970132924236,37.8,0,0,113.4
Trichy-Palakarai-00905,Trichy,Palakarai,commercial,10.78619,78.711196,2025-06-27T19:28:55.713844,2025,6,27,19,4,0,monsoon,evening,cloudy,0,100.0,1.0,37.8,0,0,113.4
Trichy-Palakarai-00905,Trichy,Palakarai,commercial,10.78619,78.711196,2025-08-22T06:15:55.713844,2025,8,22,6,4,0,monsoon,morning,cloudy,0,78.9711388799446,0.8167560329311594,37.8,0,0,113.4
Trichy-Palakarai-00905,Trichy,Palakarai,commercial,10.78619,78.711196,2025-03-24T15:35:55.713844,2025,3,24,15,0,0,spring,afternoon,clear,0,75.70554231140717,0.798732037887484,37.8,0,0,113.4
Trichy-Thillai Nagar-01142,Trichy,Thillai Nagar,street,10.797711,78.701608,2025-06-24T04:30:55.713844,2025,6,24,4,1,0,monsoon,night,clear,0,19.577754160914754,0.3427197050646367,23.61,1,0,22.89
Trichy-Thillai Nagar-01142,Trichy,Thillai Nagar,street,10.797711,78.701608,2025-08-13T06:12:55.713844,2025,8,13,6,2,0,monsoon,morning,stormy,1,76.85354102791341,0.7086619298136503,23.61,1,0,70.83
Trichy-Thillai Nagar-01142,Trichy,Thillai Nagar,street,10.797711,78.701608,2025-09-23T15:27:55.713844,2025,9,23,15,1,0,autumn,afternoon,clear,1,63.60838190421768,0.7740896766709446,23.61,1,0,70.83
